id,instnm,school system name,settlement title,settlement description,settlement date,settlement link,school closing date,sec 702
101116,SOUTH UNIVERSITY-MONTGOMERY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
104364,BROWN MACKIE COLLEGE-TUCSON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
104504,CORTIVA INSTITUTE-TUCSON,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
105482,CORTIVA INSTITUTE-SCOTTSDALE,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
106148,YAVAPAI COLLEGE,,,Flight Program - Suspended for 85/15 violation,2/2/16,,,
117113,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY SAN DIEGO,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
117928,THE ART INSTITUTE OF CALIFORNIA-ARGOSY UNIVERSITY SAN FRANCISCO,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
118259,BRIGHTWOOD COLLEGE-SACRAMENTO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
118277,BRIGHTWOOD COLLEGE-SAN DIEGO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
118286,BRIGHTWOOD COLLEGE-VISTA,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
118967,BRIGHTWOOD COLLEGE-NORTH HOLLYWOOD,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
121983,ARGOSY UNIVERSITY-SAN FRANCISCO BAY AREA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
126030,WESTERN STATE COLLEGE OF LAW AT ARGOSY UNIVERSITY,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of campus. Imminent closure is a distinct possibility.",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
126702,THE ART INSTITUTE OF COLORADO,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
126827,COLORADO TECHNICAL UNIVERSITY - COLORADO SPRINGS,COLORADO TECHNICAL UNIVERSITY - COLORADO SPRINGS,,The Federal Trade Commission (FTC) has reached a settlement with this school.,1/3/19,http://www.marylandattorneygeneral.gov/press/2019/010319.pdf,,
126827,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
128896,CORTIVA INSTITUTE-NEWINGTON,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
132338,THE ART INSTITUTE OF FORT LAUDERDALE,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
133465,SOUTH UNIVERSITY-WEST PALM BEACH,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
134811,AI MIAMI INTERNATIONAL UNIVERSITY OF ART AND DESIGN,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
137148,ARGOSY UNIVERSITY-SARASOTA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
138132,FASHION FOCUS HAIR ACADEMY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,4/8/19,,,
138813,THE ART INSTITUTE OF ATLANTA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
139287,CARVER COLLEGE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,,,,
139579,SOUTH UNIVERSITY-SAVANNAH,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
140720,PAINE COLLEGE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,,,,
144777,DEVRY UNIVERSITY-ADMINISTRATIVE OFFICE,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
145497,HEBREW THEOLOGICAL COLLEGE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,2/28/18,,,
145770,ARGOSY UNIVERSITY-CHICAGO,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government",2/27/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
148177,THE ILLINOIS INSTITUTE OF ART-CHICAGO,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
151616,BROWN MACKIE COLLEGE-MERRILLVILLE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
151625,BROWN MACKIE COLLEGE-MICHIGAN CITY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
151944,BROWN MACKIE COLLEGE-SOUTH BEND,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
152415,BRIGHTWOOD COLLEGE-HAMMOND,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
154767,BROWN MACKIE COLLEGE-KANSAS CITY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
154776,BROWN MACKIE COLLEGE-SALINA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
154998,DODGE CITY COLLEGE,,,Federal Trade Commission (FTC) filed suit for deceptive action,2/2/16,,,
157599,BROWN MACKIE COLLEGE-LOUISVILLE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
157696,BROWN MACKIE COLLEGE-NORTHERN KENTUCKY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
161776,BRIGHTWOOD COLLEGE-TOWSON,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
163736,BRIGHTWOOD COLLEGE-BALTIMORE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
164058,BRIGHTWOOD COLLEGE-BELTSVILLE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
167321,THE NEW ENGLAND INSTITUTE OF ART,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
173887,THE ART INSTITUTES INTERNATIONAL-MINNESOTA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
173984,ARGOSY UNIVERSITY-TWIN CITIES,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
178004,LUTHERAN SCHOOL OF NURSING,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,12/20/18,,,
182111,THE ART INSTITUTE OF LAS VEGAS,,,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
197832,THE ART INSTITUTE OF CHARLOTTE,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
204316,BROWN MACKIE COLLEGE-NORTH CANTON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
204626,BRIGHTWOOD COLLEGE-DAYTON,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
205610,BROWN MACKIE COLLEGE-CINCINNATI,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
205647,BROWN MACKIE COLLEGE-AKRON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
207166,HOLLYWOOD COSMETOLOGY CENTER,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,
208239,THE ART INSTITUTE OF PORTLAND,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210906,THE ART INSTITUTES OF YORK-PA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210942,THE ART INSTITUTE OF PHILADELPHIA,"Dream Center Education Holdings, LLC",,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
210960,THE ART INSTITUTE OF PITTSBURGH,,,"Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
211617,BRIGHTWOOD CAREER INSTITUTE-PHILA MILLS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
213002,BRIGHTWOOD CAREER INSTITUTE-PITTSBURGH,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),9/12/18,https://www.insidehighered.com/news/2018/09/12/profit-chain-will-close-dozens-campuses,,
214254,BRIGHTWOOD CAREER INSTITUTE-PHILADELPHIA,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
215646,BRIGHTWOOD CAREER INSTITUTE-BROOMALL,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
216339,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
222938,THE ART INSTITUTE OF HOUSTON,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
224776,SOUTH UNIVERSITY-THE ART INSTITUTE OF DALLAS,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
227836,BRIGHTWOOD COLLEGE-MCALLEN,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
229036,BRIGHTWOOD COLLEGE-HOUSTON,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
230603,SOUTHERN UTAH UNIVERSITY,,,The Federal Trade Commission (FTC) has reached a settlement with this school.,2/2/16,,,
234492,THE ART INSTITUTE OF SEATTLE,,,"Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
234711,BIG BEND COMMUNITY COLLEGE,,,The Federal Trade Commission (FTC) has reached a settlement with this school,2/2/16,,,
244561,CORTIVA INSTITUTE-CHICAGO,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
246202,BRIGHTWOOD COLLEGE-NASHVILLE,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
246266,BRIGHTWOOD COLLEGE-EL PASO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
251075,BRIGHTWOOD CAREER INSTITUTE- HARRISBURG,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
251312,SOUTH UNIVERSITY-COLUMBIA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
364955,BRIGHTWOOD COLLEGE-SAN ANTONIO SAN PEDRO,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
365055,THE ART INSTITUTE OF NEW YORK CITY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
366748,ARGOSY UNIVERSITY-HAWAII,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
366748,ARGOSY UNIVERSITY-AMERICAN SAMOA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Assigned receiver has motioned court for an emergency closure of compus. ImmInent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
366960,BRIGHTWOOD COLLEGE-SALIDA,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
367936,ARGOSY UNIVERSITY-ATLANTA,"Dream Center Education Holdings, LLC",,"Loss of Title IV Participation, Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution Website), Assigned receiver has motioned court for an emergency closure of compus. Immenent closure is a distinct possible",3/8/19,https://studentaid.ed.gov/sa/about/announcements/dream-center,,
373085,BROWN MACKIE COLLEGE-QUAD CITIES,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
374875,BRIGHTWOOD COLLEGE-LAS VEGAS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
375489,BROWN MACKIE COLLEGE-FINDLAY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
380465,UNIVERSITY OF PHOENIX-UTAH CAMPUS,University of Phoenix-Utah Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
380474,CORTIVA INSTITUTE-SALT LAKE CITY,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
382896,BRIGHTWOOD COLLEGE-DALLAS,Education Corporation of America,,Upcoming Campus Closure (Details Posted on Institution's Website),12/6/18,,,
408039,BROWN MACKIE COLLEGE-FORT WAYNE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
410283,BROWN MACKIE COLLEGE-ATLANTA,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
