id,instnm,school system name,settlement title,settlement description,settlement date,settlement link,school closing date,sec 702
460048,BROWN MACKIE COLLEGE-ST LOUIS,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
460613,BROWN MACKIE COLLEGE-SAN ANTONIO,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
460640,CORTIVA INSTITUTE-HOBOKEN,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
461564,NASHVILLE BARBER AND STYLE ACADEMY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,2/28/19,,,
462309,J RENEE COLLEGE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,
468015,SOUTH UNIVERSITY-THE ART INSTITUTE OF FORT WORTH,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
468024,SOUTH UNIVERSITY-NOVI,,,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution's Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
469124,CORTIVA INSTITUTE-LAS VEGAS,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
469142,CORTIVA INSTITUTE-PHOENIX,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
469151,CORTIVA INSTITUTE-WESTMINSTER,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
469160,CORTIVA INSTITUTE-AURORA,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
470092,THE ART INSTITUTE OF WISCONSIN,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
470162,BROWN MACKIE COLLEGE-BIRMINGHAM,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
475042,BROWN MACKIE COLLEGE-OKLAHOMA CITY,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
479053,CORTIVA INSTITUTE-FEDERAL WAY,,,Upcoming Campus Closure (Details Posted on Institution's Website),4/17/19,https://www.cortiva.edu/,,
480073,SOUTH UNIVERSITY-AUSTIN,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
480082,SOUTH UNIVERSITY-CLEVELAND,,,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution's Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
481720,SOUTH UNIVERSITY-HIGH POINT,,,"Settlement with U.S. Government, Upcoming Campus Closure (Details Posted on Institution's Website)",11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
482398,THE ART INSTITUTE OF ST LOUIS,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
482413,DEVRY COLLEGE OF NEW YORK,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482422,DEVRY UNIVERSITY-ARIZONA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482431,DEVRY UNIVERSITY-CALIFORNIA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482440,DEVRY UNIVERSITY-COLORADO,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482459,DEVRY UNIVERSITY-FLORIDA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482468,DEVRY UNIVERSITY-GEORGIA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482477,DEVRY UNIVERSITY-ILLINOIS,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482486,DEVRY UNIVERSITY-INDIANA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482495,DEVRY UNIVERSITY-KENTUCKY,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482501,DEVRY UNIVERSITY-MARYLAND,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482510,DEVRY UNIVERSITY-MICHIGAN,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482529,DEVRY UNIVERSITY-MINNESOTA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482538,DEVRY UNIVERSITY-MISSOURI,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482547,DEVRY UNIVERSITY-NEVADA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482556,DEVRY UNIVERSITY-NEW JERSEY,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482565,DEVRY UNIVERSITY-NORTH CAROLINA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482574,DEVRY UNIVERSITY-OHIO,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482583,DEVRY UNIVERSITY-OKLAHOMA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482592,DEVRY UNIVERSITY-OREGON,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482608,DEVRY UNIVERSITY-PENNSYLVANIA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482617,DEVRY UNIVERSITY-TENNESSEE,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482635,DEVRY UNIVERSITY-TEXAS,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482644,DEVRY UNIVERSITY-UTAH,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482653,DEVRY UNIVERSITY-VIRGINIA,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482662,DEVRY UNIVERSITY-WASHINGTON,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482671,DEVRY UNIVERSITY-WISCONSIN,DeVry University Inc.,,Settlement reached with the Federal Trade Commission (FTC),12/21/16,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc,,
482954,BROWN MACKIE COLLEGE-DALLAS,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
483090,EDMC CENTRAL ADMINISTRATIVE OFFICE,,,Settlement with U.S. Government,11/16/15,http://www.justice.gov/opa/pr/profit-college-company-pay-955-million-settle-claims-illegal-recruiting-consumer-fraud-and,,
484613,UNIVERSITY OF PHOENIX-ONLINE CAMPUS,University of Phoenix-Online Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484613,UNIVERSITY OF PHOENIX-PHOENIX CAMPUS,University of Phoenix-Phoenix Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484613,UNIVERSITY OF PHOENIX-SOUTHERN ARIZONA,University of Phoenix-Southern Arizona,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484631,UNIVERSITY OF PHOENIX-CENTRAL VALLEY CAMPUS,University of Phoenix-Central Valley Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484631,UNIVERSITY OF PHOENIX-SACRAMENTO VALLEY CAMPUS,University of Phoenix-Sacramento Valley Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484631,UNIVERSITY OF PHOENIX-SAN DIEGO CAMPUS,University of Phoenix-San Diego Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484631,UNIVERSITY OF PHOENIX-SAN JOSE,University of Phoenix-San Jose First St,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484631,UNIVERSITY OF PHOENIX-SOUTHERN CALIFORNIA CAMPUS,University of Phoenix-Southern California Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484640,UNIVERSITY OF PHOENIX-COLORADO CAMPUS,University of Phoenix-Colorado Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484668,UNIVERSITY OF PHOENIX-CENTRAL FLORIDA,University of Phoenix-Central Florida,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484668,UNIVERSITY OF PHOENIX-NORTH FLORIDA,University of Phoenix-North Florida,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484668,UNIVERSITY OF PHOENIX-SOUTH FLORIDA,University of Phoenix-South Florida,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484668,UNIVERSITY OF PHOENIX-WEST FLORIDA,University of Phoenix-West Florida Learning Center,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484677,UNIVERSITY OF PHOENIX-ATLANTA CAMPUS,University of Phoenix-Atlanta Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484677,UNIVERSITY OF PHOENIX-AUGUSTA CAMPUS,University of Phoenix-Augusta Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484677,UNIVERSITY OF PHOENIX-COLUMBUS GEORGIA CAMPUS,University of Phoenix-Columbus Georgia Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484710,UNIVERSITY OF PHOENIX-LAS VEGAS,University of Phoenix-Las Vegas,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484729,UNIVERSITY OF PHOENIX-CHARLOTTE CAMPUS,University of Phoenix-Charlotte Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484756,UNIVERSITY OF PHOENIX-DALLAS CAMPUS,University of Phoenix-Dallas Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484756,UNIVERSITY OF PHOENIX-EL PASO CAMPUS,University of Phoenix-El Paso Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484756,UNIVERSITY OF PHOENIX-HOUSTON CAMPUS,University of Phoenix-Houston Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484756,UNIVERSITY OF PHOENIX-SAN ANTONIO CAMPUS,University of Phoenix-San Antonio Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484765,UNIVERSITY OF PHOENIX-ARLINGTON,University of Phoenix-Arlington,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
484783,UNIVERSITY OF PHOENIX-PHILADELPHIA CAMPUS,University of Phoenix-Philadelphia Campus,,The Federal Trade Commission (FTC) has reached a settlement with this school.,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
487834,MED-LIFE INSTITUTE-NAPLES,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,5/9/18,,,
490179,MEDICAL PREP INSTITUTE OF TAMPA BAY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,4/18/19,,,
11011085,OSAKA UNIVERSITY - GRADUATE SCHOOL OF INFORMATION SCIENCE AND TECHNOLOGY,,,Post 9/11 GI Bill (CH33) not Approved at this location,1/29/19,,,
11120469,HONG KONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Program,3/31/19,,,
11200178,UNIVERSITY OF TARTU,,,Post 9/11 GI Bill (CH33) not Approved at this location,1/29/19,,,
11400178,TALLINN UNIVERSITY OF TECHNOLOGY,,,Post 9/11 GI Bill (CH33) not Approved at this location,1/29/19,,,
11900238,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5400,,
12000238,TEMPLE UNIVERSITY HEALTH SYSTEM,TEMPLE UNIVERSITY HEALTH SYSTEM,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5404,,
21917411,ASHWORTH COLLEGE,,,"Federal Trade Commission Filed Suit for Deceptive Advertising; Settlement reached on May 26, 2015",5/26/15,,,
22000138,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5401,,
25012740,INTERNATIONAL SCHOOL OF BEAUTY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,
25036211,INSTITUTE OF MEDICAL ULTRASOUND,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,
25917411,ASHWORTH COLLEGE,,,"Federal Trade Commission Filed Suit for Deceptive Advertising; Settlement reached on May 26, 2015",5/26/15,,,
31000569,AMERICAN UNIVERSITY OF CENTRAL ASIA,,,Post 9/11 GI Bill (CH33) not Approved at this location,1/29/19,,,
31001527,BELLEVUE UNIVERSITY-SIOUX FALLS,BELLEVUE UNIVERSITY-SIOUX FALLS,,States Attorney General Filed Suit for Deceptive Action,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
31001541,BELLEVUE UNIVERSITY-SIOUX CITY,BELLEVUE UNIVERSITY-SIOUX CITY,,States Attorney General Filed Suit for Deceptive Action,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
31005015,BELLEVUE UNIVERSITY-BELLEVUE,BELLEVUE UNIVERSITY-BELLEVUE,,States Attorney General Filed Suit for Deceptive Action,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
31320974,LONDON SCHOOL OF THEOLOGY,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,,,,
31476347,"BELLEVUE UNIVERSITY FAIRCHILD AFB, WA","BELLEVUE UNIVERSITY FAIRCHILD AFB, WA",,States Attorney General Filed Suit for Deceptive Action,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
31800138,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5402,,
31996612,"BELLEVUE UNIVERSITY MOUTAIN HOME AFB, ID","BELLEVUE UNIVERSITY MOUTAIN HOME AFB, ID",,States Attorney General Filed Suit for Deceptive Action,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5399,,
32903538,TEMPLE UNIVERSITY,TEMPLE UNIVERSITY,,Settlement reached with States Attorney General,3/9/20,https://www.va.gov/opa/pressrel/pressrelease.cfm?id=5403,,
249F0410,ORLANDO MEDICAL INSTITUTE,,,Denial of Recertification Application to Participate in the Federal Student Financial Assistance Programs Issued by Department of Education,1/30/18,,,